title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
"Trump And Xi Jinping's Tariff Threats May Be 'Just For The LOLz,' Says Analyst: 'It's Not Like This Is A Great Financial Crisis' - Carrier Global  ( NYSE:CARR ) , Apple  ( NASDAQ:AAPL ) ","Despite growing concerns about renewed trade tensions between Washington and Beijing, one analyst says the drama may be more performative than policy-driven.",Benzinga,20250412T042142,"[{'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}]",Neutral,-0.115876,RTX
"10 Companies With Exposure To Trump's China Tariff War: Ford, Tesla, Apple, Disney And More - Carrier Global  ( NYSE:CARR ) , Apple  ( NASDAQ:AAPL ) ","Apple produces 90% of iPhones, 70% to 80% of iPads and 50% of Mac products in China, according to Wedbush. Ford ranks in the top position as most overexposed to China with high scores in all criteria.",Benzinga,20250411T135727,"[{'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Neutral,-0.088658,RTX
Should You Invest in the Industrial Select Sector SPDR ETF  ( XLI ) ?,Sector ETF report for ...,Zacks Commentary,20250410T102004,"[{'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.180618,RTX
"RTX Pops as Pratt & Whitney Expands GTF Capacity, Collins Aerospace Enhances Offerings - RTX  ( NYSE:RTX ) ","Pratt & Whitney expands GTF overhaul capacity with MTU Aero Engines and Delta Air Lines to meet rising demand. Collins Aerospace enhances SelfServ platform and showcases seating upgrades, improving passenger and operator experiences. With stocks plunging, steady income is key.",Benzinga,20250408T141727,"[{'topic': 'Energy & Transportation', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.967645'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",Bullish,0.352009,RTX
Should You Invest in the SPDR S&P Aerospace & Defense ETF  ( XAR ) ?,Sector ETF report for ...,Zacks Commentary,20250408T102009,"[{'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.205696,RTX
Should You Invest in the Vanguard Industrials ETF  ( VIS ) ?,Sector ETF report for VIS ...,Zacks Commentary,20250403T102003,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.182535,RTX
